attitude	(n.)态度
loan	(n.) 暂借;贷款
conference	(n.) 会议
thunder	(n.) 雷,  雷声
partner	"n. 伙伴 ,搭档;配偶 ,伴 侣;   v. 成为 ... ... 的合伙人"
control	"v. 控制 ,管理;   n. 控制, 管理"
purple	(adj.) 紫色的
carpet	(n.) 地毯
club	(n.) 社团 ,俱乐部
lamb	(n.) 羔羊
maybe	(adv.) 可能 ,大概 ,也许
pure	(adj.) 纯粹的
plastic	"adj. 塑料的;   n. 塑料 ,塑 料制品"
contain	(v.) 包含 ,含有 ,容纳
magic	"n. 魔术 ,戏法;   adj. 有魔 力的 ,魔术的"
luxury	(adj.) 奢侈的 ,豪华的
pink	(adj.) 粉红色的
stand	(v.) 站立;忍受;   n. 货摊
building	(n.) 大楼;建筑
save	(v.) 节省;拯救
feeling	"n.   (内心和感官的)感觉, 感触 ,情绪;   v. 感觉"
sheet	"n. 纸张;床单;  (冰或水等 的)一大片"
none	(pron.) 没有(一人或一物)
vocabulary	(n.) 词汇( 量)
possibility	(n.) 可能性
opinion	(n.) 意见 ,看法 ,观点
monument	(n.) 纪念碑;历史遗迹 ,遗址
wedding	(n.) 婚礼
account	"n. 账目 ,账户;描述;叙 述;   v. 占(一定数量或 ..."
accept	"v. 接受(所提供或给予的物 品)"
thunderstorm	(n.) 雷暴雨,  雷雨
company	(n.) 公司;  陪伴
weight	(n.) 体重;重量 ,分量
comedy	(n.) 喜剧 ,喜剧片 ,滑稽节目
marvellous	"adj. 不可思议的 ,惊奇的, 极好的 ,绝妙的"
mild	(adj.) 温和的;轻微的
warning	(adj.) 警告的
employee	(n.) 雇员
product	(n.) 产品 ,制品;产物
provide	(v.) 提供 ,供给
attend	"v. 参加;上(学)   ,去(教 堂)"
foreign	(adj.) 外国的 ,外来的
manager	(n.) 经理 ,管理人
recover	"v. 恢复;痊愈 ,恢复健康; 收回"
occasion	(n.) 场合,  时候 ,活动
noisy	(adj.) 嘈杂的
path	"n. 道路;小路; (尤指达到 某一目的或结果的)行动 ..."
argue	(v.) 争论;主张 ,认为
president	"n.   (各机构的)会长,  院 长 ,主席;总裁"
side	"n. 一边 ,一侧;面;边;一 方 ,一派;   adj. 副的"
initial	(adj.) 最初的 ,开始的
bring	"v. 带来;使处于某种状态; 把 ... 引入 (某地) ,把 ...介 ..."
spider	(n.) 蜘蛛
label	"n. 标签;   v. 把 ... ...称为, 贴标签于 ... ..."
bone	(n.) 骨骼
unexpected	(adj.) 想不到的 ,意外的
area	(n.) 区域 ,地区
leather	(n.) 皮革;皮制品
advice	(n.) 建议 ,意见
increase	(v.) 增加
flag	(n.) 国旗 ,旗帜
hardware	(n.) 五金器具
surround	(vt.) 包围
builder	(n.) 建筑工人
million	(num.) 百万;许多
twin	(adj.) 双胞胎之一的;成双的
cotton	(n.) 棉花
fit	"v. 适合;合得来 ,适应; (adj.) 健康的;合适的;   n. ..."
metal	(n.) 金属 ,合金 ,金属制品
wave	"n. 涌现的人 ,涌现的事物; (v.) 挥手 ,招手"
appear	"vi. 出现 ,呈现 ,露面;link-v. 显得 ,好像"
fight	"v. 与 ... ...作斗争;打架 ,打 斗;   n. 战斗"
surfing	(n.) 冲浪
technique	(n.) 技巧 ,技能;技术 ,方法
sunset	(n.) 日落
raise	"v. 筹集 ,筹(钱)   ;饲养, 种植;抚养;提高 ,增加 ..."
dinosaur	(n.) 恐龙
length	(n.) 长度
double	"v. 使 ... ...翻倍;   adj. 双人 的;两倍的 ,双的"
historic	"adj. 有历史意义的 ,历史上 著名的"
bit	(n.) 少量 ,小片
birth	(n.) 分娩,  出生;创始
figure	(n.) 身形;   v. 认为 ,认定
term	"n. 方面 ,角度( terms); 术语;期限;学期"
pour	(v.) 注 ,倒 ,灌
thought	"n. 思维 ,思考;思想 ,想 法;   v. 想,  以为( think ..."
pollution	"n. 污染;  噪音污染 ,光污 染;污染物"
quantity	(n.) 数量 ,数额;大量 ,许多
decrease	(v.) 减少;  降低;   n. 减少
view	"n. 观点 ,看法;风景 ,景 色;视野; (一次)观看 ..."
professional	(adj.) 专业的;   n. 专业人员
rabbit	(n.) 兔子,( 野)兔
section	(n.) 部分;  阶层;部门
casual	(adj.) 随便的
wood	(n.) 木头 ,木材;林地 ,树林
cheque	(n.) 支票
tablet	(n.) 平板电脑
full-time	(adj.) 全日的
inexpensive	(adj.) 廉价的 ,便宜的
bright	"adj. 明亮的;聪明的; (adv.) 明亮地"
fur	(n.) 毛皮
outdoor	(adj.) 室外的 ,野外的
grow	"v. 生长 ,成长;增长;种 植;渐渐变得"
helicopter	(n.) 直升机
online	"adj. 在线的, 联网的;(adv.) 联机地, 线上地"
press	"v. 按 ,压;   n. 新闻界;  印 刷机;压力"
camel	(n.) 骆驼
confirm	(v.) 确认 ,使确信;证实
fully	(adv.) 完全地
bridge	(n.) 桥 ,桥梁;   v. 弥合
spot	"v. 看见 ,注意到 ,发现; (n.) 地点;点 ,斑点"
range	"n. 范围 ,界限;一系列; (v.) (在一定范围内)变化"
sail	(vi.) 航行
exam	(n.) 考试
correct	"adj. 正确的;   v. 改正;矫 正;批改"
secret	"n. 秘密;诀窍;   adj. 秘密 的 ,保密的"
tiger	(n.) 老虎
silly	(adj.) 傻的 ,愚蠢的
available	(adj.) 可获得的 ,可用的
cultural	(adj.) 文化的
argument	"n. 论据 ,论点;争吵 ,争 论 ,争辩"
plenty	(pron.) 大量 ,丰富
lecture	(n.) 演讲
coconut	(n.) 椰子 ,椰肉
pain	(n.) 痛 ,痛苦
trend	(n.) 趋势
waste	"v. 浪费;   n. 浪费;废料, 废品"
future	"n. 未来;   adj. 将来的 ,未 来的"
personal	(adj.) 个人的 ,私人的
popular	(adj.) 受欢迎的
apology	(n.) 道歉 ,歉意
cycling	(n.) 骑脚踏车兜风
step	"n. 步骤,  阶段;一步;措 施;脚步 ,脚步声;   vi. ..."
receive	(v.) 收到 ,得到;获得
violin	(n.) 小提琴
screen	(n.) 屏幕
notice	"v. 注意到 ,意识到;   n. 告 示 ,通知;注意"
practice	"v. 练习( =practise);   n. 实践 ,实行;练习;  习惯"
bottle	(n.) 瓶子
chemistry	(n.) 化学
traditional	(adj.) 传统的
seat	"n. 座位;   v. 能提供...人座 位"
prison	(n.) 监狱
moment	(n.) 瞬间 ,片刻;  时刻
point	"n. 要点;  时候,  时刻,  阶 段;点; (试图表达的)  ..."
registration	(n.) 登记 ,注册 ,挂号
information	(n.) 信息
dream	"n. 梦想;理想;梦;   v. 梦 想;做梦;   adj. 理想的 ..."
southeast	(adj.) 东南方的
crossing	(n.) 人行横道
charity	"n. 慈善;慈善机构(或组 织)"
recent	(adj.) 最近的
similar	(adj.) 相似的;类似的
repair	(v.) 修理;   n. 维修
sum	(n.) 全部 ,总和
equal	"adj. 平等的;相同的;相等 的;   v. 导致"
magnificent	"adj. 宏伟的 ,壮丽的 ,极好 的"
persuade	(v.) 说服
photography	(n.) 摄影 ,摄影术
wet	(adj.) 湿的
record	"v. 记录(读作/rɪˈkɔrd/); 录制;   n. 记录;最好成绩"
activity	(n.) 活动
island	(n.) 岛,  岛屿
college	(n.) 大学
equipment	(n.) 设备 ,器材
creature	(n.) 生物;人
decide	(v.) 决定;判决
climb	"v. 攀登 ,爬;上升 ,增长; (n.) 攀爬"
essay	(n.) 文章 ,短文;论文
pass	"v. 给 ,传递;经过 ,度过; (时间)流逝;通过;走 ..."
freezer	(n.) 冷冻室
shoot	"v.   (使朝某方向)  冲 ,奔, 扑 ,射 ,飞驰;射门"
trumpet	(n.) 喇叭 ,小号
cream	(n.) 奶油 ,乳脂
coast	(n.) 海岸 ,海滨
video	(n.) 视频 ,录像
wheelchair	(n.) 轮椅
interval	(n.) 音程
promote	"v. 促进;宣传;提升 ,升 级;推动"
petrol	(n.) <英>汽油
typical	(adj.) 典型的 ,有代表性的
invitation	(n.) 邀请
goods	(n.) 货物 ,商品
advise	(v.) 建议
mistake	(n.) 错误 ,过失
documentary	(n.) 纪录片
shore	(n.) 岸
paragraph	(n.) (文章的)段 ,节;段落
check	"v. 检查;核查;   n. 检查; 阻止"
cover	(v.) 覆盖;   n. 封面
occupation	(n.) 职业 ,工作
smooth	(adj.) 平稳的
population	(n.) (地区 、国家等的)  人口
deposit	(v.) 沉淀;   n. 定金
government	(n.) 政府
weekday	(n.) 工作日 ,平日
contact	"v. 联系;   n. 接触;联系, 联络;  隐形眼镜"
voice	(n.) 声音
style	(n.) 风格;方式 ,特点
series	(n.) 系列 ,系列节目
order	"v. 订购;点(食物 、饮 料)   ;命令;   n. 订单;  ..."
crime	(n.) 犯罪活动
expect	"v. 期望;预计 ,预料 ,预 期 ;猜想 ,认为 ,料想;  ..."
passive	"adj. 被动的;消极的;   n. 被动语态"
deep	"adj. 深的;深刻的 ,深切 的;有 ... ...深的"
call	"v. 打电话给 ... ;把 ... ... 叫 作;召唤,  呼唤,  呼吁"
golf	(n.) 高尔夫球运动
calendar	(n.) 日历 ,挂历
frog	(n.) 青蛙
limited	(adj.) 有限的;被限制的
lawyer	(n.) 律师
touch	"v. 触 ,碰 ,摸;感动 ,触 动;   n. 联系;触觉"
win	(v.) 赢得; (获)胜
brake	(vi.) 刹车;   n. 刹车,  闸
stuff	(n.) 东西
temporary	(adj.) 临时的;暂时的
expert	(n.) 专家
playground	"n. 操场 ,游乐区,(学校或 公园中的)游戏场"
danger	"n. 危险 ,风险 ,危险的物 (或人)"
topic	(n.) 话题 ,主题
straight	(adj.) 直的
landscape	(n.) 风景 ,景观
protect	(v.) 保护
spice	(n.) 香料 ,调味品
card	(n.) 卡 ,卡片 ,贺卡 ,名片
leisure	(n.) 闲暇 ,休闲
taste	"n. 品味;   v. 品尝,  尝( ...... 的味道),  尝起来;体验 ..."
prevent	(v.) 预防
painter	(n.) 画家
forget	(v.) 忘记 ,遗忘
require	(v.) 需要;要求 ,规定
spectacular	(adj.) 壮观的,  引人入胜的
fact	(n.) 事实 ,现实
blood	(n.) 血(液)
motorbike	(n.) 摩托车
fix	"v. 修理;使固定;解决;确 定"
comfortable	(adj.) 舒适的
tear	"v. 撕裂 ,撕碎(读作/ter/ )   ;   n. 眼泪(读作/tɪr/)"
season	"n. 季(节)   ;季(电视或电 影节目)"
opposite	(adj.) 相反的
roof	(n.) 屋顶
trip	(n.) 旅行,  出行 ,远足
couple	"n. 几个(人或事物)   ;夫 妇;   v. 配对 ,连接 ,结合"
accommodation	(n.) 住宿 ,膳宿
mirror	(n.) 镜子;   v. 反射 ,反映
electricity	(n.) 电,   电力
salad	"n.   ( 生吃的)蔬菜色拉 ,沙 拉"
blanket	(n.) 毯子
swimming	(n.) ( swim的ing形式)游泳
bookshop	(n.) 书店
challenge	(n.) 挑战;   vt. 挑战
economics	(n.) 经济学;经济情况
memory	"n. 记忆;  回忆;记忆力 ,记 性"
earn	(v.) 挣得 ,挣钱;赚得;赢得
produce	"v. 产生(读作/prə ˈdu:s/)   ;生产 ,制造"
square	"adj. 平方的;   n. 广场;   v. 使成平方 ,使成二次幂"
dancer	(n.) 跳舞者
brush	(v.) 擦
chain	(n.) 连锁店 ,连锁集团
grade	"n. 年级;成绩;成绩等级, 评分级别;分数"
narrow	"v. 使缩小 ,压缩;   adj. (想法 、态度或信仰)狭 ..."
mouse	(n.) 鼠
return	(v.) 返回;  归还;   n. 回报
medium	"n. 媒介;   adj. 中等的;  中 号的"
register	"v. 注册;登记;   n. 现金收 纳机;登记表 ,注册表"
charge	(v.) 收费;   n. 负责;费用
hide	(v.) 隐藏;   n. 躲藏
giant	(adj.) 巨大的 ,特大的
nervous	(adj.) 紧张的 ,焦虑不安的
compare	(vt.) 比较;  比作
independent	(adj.) 独立的,   自立的
puzzle	(n.) 拼图;   v. 使迷惑 ,迷惑
ceremony	(n.) 仪式;典礼
absolutely	(adv.) 绝对地
countryside	(n.) 乡村 ,郊野
everything	(pron.) 一切
cooker	(n.) 炉具 ,炊具
cloud	(n.) 云
law	(n.) 法律
tourist	(n.) 游客
journey	(n.) (尤指长途)旅行 ,旅程
tunnel	(n.) 隧道 ,地道 ,地下通道
enjoyable	(adj.) 令人愉快的 ,可享受的
electric	(adj.) 电动的;  电的 ,带电的
announce	(vt.) 宣布;   v. 显示
software	(n.) 软件
variety	(n.) 种类;变化 ,多样性
qualification	(n.) 资格 ,学历
title	"n. 标题;职称;   v.   (给书 籍 、乐曲等)加标题"
nearly	(adv.) 将近 ,几乎 ,差不多
baseball	(n.) 棒球(运动)
alive	"adj. 活着的 ,在世;活跃 的 ,有生气的;充满的;  ..."
kill	(v.) 杀死;导致死亡
develop	"v. 发展;壮大;开发 ,研 制 ;加强 ,增强 ,发挥;  ..."
encourage	(v.) 鼓励 ,支持;促使
web	(n.) 网
lose	(v.) 失去
electrical	(adj.) 电的
guide	"n. 导游;指南 ,手册;   v. 引导 ,指导"
instead	(adv.) 代替 ,顶替;更换
grant	(v.) 允许,  同意,  准允
kid	"n. 小孩 ,儿童;   v. 开玩 笑 ,欺骗"
route	(n.) 路线
certain	"adj. 某一 ,某些 ,一定 ( 量)  的;确定的"
annual	(adj.) 年度的 ,一年一次的
wild	"adj. 野生的;荒芜的;   n. 自然环境;野生状态"
airport	(n.) 机场
goal	"n. 目标;球门; (进球)得 分"
manage	(v.) 设法完成 ,管理
aim	(v.) 目的是,   旨在;   n. 目标
store	(n.) 商店;   v. 贮藏 ,储存
maximum	(adj.) 最大的;   n. 最大值
ladder	(n.) 梯子
central	(adj.) 中心的
shape	"n. 形状;身材;   vt. 使形 成 ,塑造"
put	"v. 使处于;放 ,摆;表达, 表述;  写上 ,记上"
special	"adj. 特别的;特殊的 ,不寻 常的;   n. 特色菜 ,特产 ..."
sand	(n.) 沙
huge	(adj.) 巨大的
pack	"v. 收拾 ,打包;塞满 ,挤 满;   n. 群;行李"
mention	(vt.) 提到
kite	(n.) 风筝
tourism	(n.) 旅游 ,观光
trust	(n.) 信任;   v. 信任 ,相信
stressful	(adj.) 压力大的 ,令人紧张的
virus	(n.) 病毒
fax	(v.) 用传真传输
keen	(adj.) 热衷的 ,渴望的
usually	(adv.) 通常 ,经常
dishwasher	(n.) 洗碟机
preposition	(n.) 前置词 ,介词
stress	(n.) 压力;   v. 强调
certificate	"n. 证明 ,证明书(读作/sər ˈtɪfɪkɪt/)"
mountain	(n.) 山,  山脉
unlikely	(adj.) 不太可能的
cabin	(n.) (简陋的)小屋
gas	"n. 煤气;气体;天然气;汽 油"
strike	"v. 击打;使产生 ... ...想法; 达成 ,达到"
text	(n.) 文稿 ,文本 ,文章
circle	"n. 圆圈; (相同兴趣 、职业 等的人形成的)  圈子 ,界 ..."
steep	(adj.) 急剧的
crew	"n.   (有专门技术的)一组工 作人员,( 飞机 、轮船等 ..."
questionnaire	(n.) 调查表,  问卷
speech	"n. 演说 ,讲话 ,发言;言 语 ,语言"
lake	(n.) 湖泊
actor	(n.) 演员 ,男演员
song	(n.) 歌曲
silk	(n.) 丝 ,丝绸
collection	"n. 收藏 ,收藏品;作品集; 收集;系 ,组"
corn	(n.) 玉米
tiny	"adj. 微小的;极小的;矮小 的"
access	"n.   (使用或见到的)机会, 权利;接触;通道;访问 ..."
exhibition	(n.) 展览
reward	"n. 回报;报酬;   vt. 奖励, 奖赏"
achieve	"v. 完成,(尤指凭长期努 力)达到(某目标)"
score	"n. 得分 ,分数;乐谱;   v. 购买 ,取得"
folk	(n.) 民众;  民间音乐
rise	"vi. 升起 ,上升 ,上涨;增 长; (权力或地位)升高 ..."
bat	(n.) 蝙蝠;球棒 ,球拍
soft	"adj. 软的 ,柔软的;柔和 的;不含酒精的"
employment	(n.) 工作;就业
fountain	(n.) 泉水,  喷泉
busy	(adj.) 忙碌的 ,正被占用的
heart	"n. 心 ,心脏;  内心;关键, 核心;  中心,  中央"
left	(adv.) 往左边
common	(adj.) 普通的;共同的
politics	(n.) 政治 ,政治事务
set	"v. 创建 ,建立;调整好; (小心地)放置;   n. 一 ..."
experiment	"n. 实验;试验;   v. 进行实 验"
research	"n. 研究 ,调查;   v. 研究, 调查"
frequent	"adj. 时常的 ,频繁的(读 作/ˈfrikwənt/)"
exact	(adj.) 确切的
perfume	(n.) 香水
boot	(n.) 靴子;   v. 启动
male	"adj. 男性的 ,雄性的;   n. 男性 ,雄性"
live	"v. 生活;居住(读作/l	ɪv/)   ;活着 ,生存;  ..."
crowd	"n. 一伙人;人群 ,观众; (v.) 挤满"
race	"n.   (速度上的)  比赛;人 种 ,种族;   v. 全速行进"
hole	(n.) 洞 ;孔;坑
damage	"v. 损害 ,毁坏 ,破坏;   n. 损坏 ,毁坏 ,破坏;伤害"
camp	(n.) 营地;野营
property	(n.) 财物;财产
likely	(adj.) 有可能的
neck	(n.) 脖子 ,颈
trouble	"n. 问题 ,麻烦;疾病;  困 境;   v.   (使)烦恼 ,麻烦"
pipe	(n.) 管子 ,导管
simple	(adj.) 简单的 ,易于理解的
adventure	(n.) 冒险,  冒险活动
part-time	(adj.) 兼职的
transfer	(v.) 转移
throw	(v.) 扔 ,抛 ,投掷;   n. 投掷
society	(n.) 社会
cost	"n. 成本;代价 ,损失;   v. 价钱为,  需花费"
destination	(n.) 目的地
salary	(n.) 工资 ,薪水
luck	(n.) 好运 ,幸运
indoor	(adj.) 室内的
intend	(v.) 打算
excitement	(n.) 兴奋
exist	(vi.) 存在
northern	"adj. 北部的 ,北方的 ,有北 方特征的"
coin	(n.) 硬币
program	"n. 项目 ,计划;节目;课 程;程序;   v. 编写程序"
distance	(n.) 距离
accent	"n. 口音 ,腔调;重音符号; (v.) 强调(读作/æk ˈsεnt/)"
signature	"n. 签名 ,署名;   adj. 标志 性的 ,惯有的"
customer	(n.) 顾客
post	"n. 帖子;  邮政;柱;   v. 发 布;  张贴"
declare	"v. 宣布 ,宣告;表明;宣 称 ,声称"
border	"n. 边界;边沿;   v. 近似; 毗邻;与 ... ...接壤;为 ... ..."
switch	"v. 转换;开关;转移;   n. 开关;转换"
quiet	"adj. 安静的;   n. 安静 ,平 静;   v. 使安静 ,平静"
printer	(n.) 打印机;  印刷机,  印刷工
polite	(adj.) 有礼貌的
guess	(v.) 猜测 ,估计;认为
advanced	(adj.) 先进的;高级的
oil	"n. 石油; (绘画用)油彩; 油 ,食用油"
direct	"adj. 直接的;   v. 指导,  引 导;导演"
elephant	(n.) 象 ,大象
aunt	(n.) 小姨 ,姑妈 ,伯母 ,舅妈
decision	(n.) 决定
stairs	(n.) 楼梯
public	"adj. 公众的;公共的;   n. 公众,  民众;公共场所"
essential	"adj. 必不可少的 ,极其重要 的"
religion	(n.) 宗教信仰;虔诚的追求
uniform	"n. 校服;制服 ,军服;   adj. 相同的 ,统一的"
suggest	"vt. 建议 ,提议;显示 ,表 明"
preparation	(n.) 准备 ,预备;  准备工作
fridge	(n.) 电冰箱
drawer	(n.) 抽屉
mate	(n.) 配偶
athlete	(n.) 运动员,  田径运动员
pump	"v. 用泵输送;抽水 ,抽取; (n.) 打气筒;泵 ,抽水(机)"
good-looking	(adj.) 好看的
sound	"v. 听起来;   n. 声音 ,声 响;   adj. 明智的"
further	"adj. 更进一步的;   v. 促 进 ,推动;   adv. 进一步"
prove	(v.) 证明 ,证实
temperature	(n.) 温度;气温
avoid	(v.) 避免,  防止
plain	"adj. 朴素的 ,不做修饰的; 清楚的 ,显而易见的;平 ..."
hopefully	(adv.) 有望
donkey	(n.) 驴
relationship	(n.) 关系
interview	"n. 面试;采访;   v. 采访; 面试"
model	"n. 模型;模范 ,榜样 ,典 型;模特;模式;型号"
terrible	"adj. 可怕的 ,骇人的;非常 严重的 ,糟糕的"
breathe	(v.) 呼吸
illness	(n.) 疾病
hunt	(n.) 打猎
frozen	(adj.) 冷冻的
real	"adj. 真实的 ,实际存在的; 真的;   adv. 很 ,非常"
basket	(n.) 篮 ,篓 ,筐
sailing	(n.) (乘帆船)航行
textbook	(n.) 教科书
traffic	(n.) 交通 ,车流
honest	(adj.) 诚实的 ,正直的
pilot	(n.) 飞行员;   adj. 试验性的
sense	"n. 感觉;道理 ,合理性;  常 识;   v. 觉得 ,意识到"
industry	(n.) 行业
correction	(n.) 改正 ,修正
garage	(n.) 车库
rubbish	(n.) 垃圾 ,废物
calm	"adj. 冷静的;平静的;  v.(使)平静;(使)镇定"
support	"v. 支持;支撑;供养;   n. 支持;资助"
session	"n. 会议;一场;一段时间的 ( 活动)"
duty	(n.) 责任 ,义务 ,本分
postcard	(n.) 明信片
pleasant	(adj.) 令人愉快的 ,舒适的
despite	(prep.) 尽管 ,不顾
cooking	(n.) 烹饪
advertisement	(n.) 广告
colleague	(n.) 同事
education	(n.) 教育 ,培养
candle	(n.) 蜡烛
file	(n.) 文件
glove	(n.) 手套
thirty	(num.) 三十
rescue	(n.) 救援;   v. 挽救
height	"n. 高,(物的)  高度; (人 的)身高"
guest	(n.) 客人 ,宾客;特邀嘉宾
cry	"v. 哭 ,哭泣;大声叫喊; (n.) 哭声,  嚎叫"
loose	(adj.) 宽松的
tie	"v. 绑 ,捆 ;连接 ,使紧密结 合;系;   n. 领带"
environmental	(adj.) 环境的
beginner	(n.) 初学者
clinic	(n.) 诊所,  门诊部
habit	(n.) 习惯
try	"v. 试图 ,努力;   n. 努力, 尝试"
still	(adv.) 还 ,仍
comment	"n. 评论;   v. 评论 ,表达意 见"
discussion	(n.) 讨论 ,谈论
forest	(n.) 森林 ,林区
competition	(n.) 比赛;竞争
space	"n.   ( 可利用的)  空间 ,空 地 ,距离;太空"
effect	(n.) 影响;效果;作用;效应
strict	"adj.   (条例 、法规等)严格 的;严厉的"
jet	"n. 喷气式飞机;   vi. 乘坐喷 气式飞机"
secondary	(adj.) 中学的
salesman	(n.) 男推销员 ,男售货员
death	(n.) 死亡
transport	"n. 运输;交通车辆 ,运输工 具;交通运输系统(读作 ..."
wage	(n.) 工资 ,薪水
diploma	(n.) 毕业文凭 ,毕业证书
collect	(v.) 收集 ,采集;领取;募捐
own	"adj. 自己的 ,本人的;   v. 有 ,拥有;   pron. 自己的 ..."
friendly	(adj.) 友好的 ,友爱的
attention	"n. 专心 ,注意力;兴趣 ,关 注"
teenager	(n.) ( 13~19岁的)青少年
powerful	"adj. 强有力的;有权势的, 有影响力的;效能高的"
tax	(n.) 税 ,税款
suggestion	(n.) 建议 ,意见
loud	(adj.) 大声的,  吵闹的
umbrella	(n.) 伞 ,雨伞
hobby	(n.) 业余爱好
gap	(n.) 间隙,  间隔
ice	(n.) 冰块
diary	(n.) 日记
ski	(vi.) 滑雪
respect	(v.) 尊敬;   n. 尊敬;方面
disagree	(v.) 不同意 ,有分歧
swimmer	(n.) 游泳者
reference	"n. 参考;参考书;  引文; (v.) 查阅"
organization	(n.) 组织 ,体制,  团体 ,机构
original	"adj. 最初的 ,原始的 ,原来 的;有独创性的 ,独创的 ..."
corner	(n.) 角落 ,角 ;拐角
weigh	(v.) 称重;认真考虑
method	(n.) 方法
rail	(n.) 铁路;扶手 ,栏杆
hit	"v. 使(某人)突然意识到, 突然想到;命中 ,击中;  ..."
lost	(adj.) 迷路的
belt	(n.) 传送带
ahead	(adv.) 向前;领先地
custom	(n.) 风俗
realistic	(adj.) 现实的 ,实际的
count	(v.) 计算;重要 ,有价值
rubber	(n.) 橡胶
north	(adj.) 北方的;   n. 北方
yoga	(n.) 瑜伽
intelligent	"adj. 有智慧的 ,聪明的;智 能的"
hold	"v. 举办 ,进行;拥有;拿 住 ,握着;保持不变;支撑"
jar	"n. 罐子 ,瓶子 ,坛子 ,缸; (v.) 震动"
cycle	"n. 周期 ,循环;   v. 骑自行 车"
period	(n.) (一段)  时间;  时期
condition	"n. 条件;状况 ,状态;   v. 使适应 ,使处于良好状态"
prefer	(v.) 更喜欢
reliable	(adj.) 可靠的 ,可信赖的
dentist	(n.) 牙医
sweater	"n. 毛衣 ,厚运动衫 ,羊毛 衫 ,针织套衫"
ink	(n.) 墨水 ,油墨
impossible	(adj.) 不可能的
allow	"v. 允许,  准许;使(有可 能)"
immigration	(n.) 移民
sink	"v. 下沉 ,下降 ,沉入;   n. 水槽 ,洗碗池"
communication	(n.) 通信 ,交流
tyre	(n.) 轮胎 ,车胎
vegetarian	(adj.) 素食的
department	"n. 部门; (大学)系 ,部; (商场里的)部"
convince	(v.) 使信服
tissue	"n.   (人 、动植物细胞的)组 织"
jungle	(n.) (热带)丛林
monthly	(adj.) 每月的 ,每月一次的
rock	"n. 岩石 ,石头;摇滚乐; (v.) 摇晃"
discount	(n.) 折扣
act	"n. 行为 ,行动;法案;   v. 行动;表演 ,扮演;有效果"
director	"n.   (电影 、戏剧等的)导 演;主管;主任"
chance	"n. 机会;可能性;风险,  冒 险;偶然"
grandmother	"n. 奶奶 ,祖母;外婆;外祖 母"
gym	(n.) 体育馆 ,健身房
shoulder	(n.) 肩膀
dolphin	(n.) 海豚
join	(v.) 连接 ,结合
employer	(n.) 雇主 ,老板
situation	(n.) 情况 ,场景
laugh	(v.) 笑 ,发笑
choice	(n.) 选择 ,挑选 ,抉择;选项
daily	"adj. 每日的,   日常的;   n. 日报;   adv. 每日 ,每天 ..."
application	(n.) 应用 ,运用;  申请(书)
bill	"n. 账单;纸币 ,钞票;议 案 ,法案"
suit	(v.) 适合;   n. 西服 ,套装
library	(n.) 图书馆 ,藏书室
nowadays	(adv.) 现在,  当今
relaxation	(n.) 放松 ,休养
hope	"v. 希望 ,期望(某事发 生);   n. 希望;期望"
firm	(n.) 公司;   adj. 坚定的
engineer	(n.) 工程师;   vt. 设计
pot	(n.) 锅
excellent	(adj.) 优秀的
rich	"adj. 富有的;丰富的;浓厚 的"
church	(n.) 教堂
option	(n.) 选择;选项
stone	(n.) 石头
disadvantage	(n.) 弊端
firework	(n.) 烟花 ,烟火
palace	(n.) 宫殿
doubt	(n.) 怀疑;   v. 怀疑
truck	(n.) 卡车
shock	"v. 使 ... ...震惊;   n. 震惊; 电击 ,触电"
creative	(adj.) 有创造力的;有创意的
liquid	(n.) 液体
pleasure	"n. 愉快 ,乐事;荣幸;高 兴 ,乐意"
afraid	"adj. 恐怕(礼貌的拒绝)  口 语;  害怕的 ,畏惧"
reply	(v.) 回答;   n. 答复,  回答
teaching	(n.) 教学
hunger	(n.) 饥饿;   v. 渴望
broken	(adj.) 损坏的
explode	(vi.) 爆炸
planet	(n.) 行星
abandon	(v.) 抛弃;放弃
statue	(n.) 雕像
grandfather	"n. 爷爷 ,祖父;外公 ,外祖 父"
literate	(adj.) 能读会写的
reptile	(n.) 爬行动物 ,爬虫
transform	(v.) 改变 ,转换
composer	(n.) 作曲家
failure	(n.) 失败;失败者
award	(n.) 奖赏;   v. 授予
dramatic	"adj. 戏剧的 ,戏剧性的;  巨 大的 ,突然的 ,急剧的;  ..."
overview	(n.) 综述 ,概观
autonomy	(n.) 自主权
realism	(n.) 现实主义
instruction	(n.) 指导;指令 ,命令;指示
purify	(v.) 使纯净 ,净化
evidence	(n.) 证据 ,证明;   v. 证明
infection	(n.) 感染
territory	(n.) 领域;范围
vivid	"adj. 生动的 ,清晰的( 记 忆 、描述)"
somewhat	(adv.) 有点儿 ,稍微
precious	(adj.) 珍贵的,  宝贵的
variation	(n.) 差异;  [生物] 变异 ,变种
undergo	(v.) 经历
philosophy	"n. 生活信条(或态度)   ;哲 学 ,哲学体系"
fragile	"adj. 易碎的;易损坏的;虚 弱的;脆弱的"
sensitive	(adj.) 敏感的
vice	"n. 恶习;缺点;邪恶;罪 行;生理缺陷;   adj. 副 ..."
associate	"v. 与......有关;联系;   adj. 副的"
tough	"adj. 坚韧的;艰难的;棘手 的;严厉的"
productivity	(n.) 效率;生产力
belief	(n.) 信念;信仰;相信
stuck	(adj.) 不能动的
justify	"v. 证明 ... ...正确或有理;使 (文本) 对齐"
commitment	(n.) 承诺 ,许诺;承担的义务
renowned	(adj.) 著名的
