un	一,一个adj.
TGV	法国高速列车(全称:Train à Grande Vitesse)
tourisme	旅游业(n.m.)
office du tourisme	旅游局(n.m.);旅游事务所
dans le train	在火车上(介词短语)
vieux	年老的,古老的(adj.);旧的(adj.)
vieille	年老的,古老的(adj.);旧的(adj.)(f.)
vitesse	速度(n.f.)
grande vitesse	高速(n.f.)
carte	卡片n.f.;地图n.f.
Pour aller à Marseille	去马赛
En avion	乘飞机
Aéroport Marseille Provence	马赛普罗旺斯机场
trente-trois, quatre, quarante-deux, quatorze, quatorze, quatorze	"+33 04 42 14 14 14"
En voiture	乘汽车
à Nice	到尼斯
En train	乘火车
Gare Marseille Saint-Charles	圣查尔斯火车站
200 trains par jour	每天200列火车
par le TGV Méditerranée	乘地中海高速列车(方式状语)
A 3 heures de Paris par le TGV Méditerranée	乘地中海高速列车从巴黎到达马赛需要3小时
En bateau	乘船
Port de Marseille 200 destinations	马赛港口200个目的地
Autour de Marseille	马赛周边
Visites en bateau	乘船游览
Le château d'If	伊夫城堡
Les îles du Frioul	弗里乌尔群岛
Comte	伯爵
la prison du Comte de Monte-Cristo	基督山伯爵的监狱
Les calanques	小海湾;峡湾
par la mer	通过海路
entre Marseille et Cassis	在马赛和卡西斯之间
dans la ville	在城市里
Le Vieux-Port	老港
l'Hôtel de Ville	市政厅
Le vieux quartier du Panier	潘尼耶老城区
Notre-Dame-de-la-Garde	马赛圣母院“守护圣母教堂”
Le palais du Pharo	法罗宫
Cité	“城市”“城邦”
La Cité radieuse	光明城
La Cité radieuse de le Corbusier	勒・柯布西耶的‘光辉城市
Les Musées	博物馆
Musée d'histoire de Marseille	马赛历史博物馆
Square Belsunce, Centre Bourse	贝尔桑斯广场,商业中心
Entrée gratuite	免费入场
Musée Cantinu	卡蒂努博物馆
Peinturem sculpture	绘画,雕塑
la virgule	逗号
Musée d'art contemporain	当代艺术博物馆
Musée d'archéologie méditerranéenne	地中海考古博物馆
Centre de la Vieille-Charité	老慈善院中心
Étudiants gratuit	学生免费
Renseignements	信息;讯息;查询
Je suis à Lille, dans le nord de la France	我在法国北部的里尔
Cette ville est très jolie	这个城市很漂亮
J'habite dans le centre avec Idoia, une amie espagnole	我和西班牙朋友Idoia住在市中心
Elle va aussi à l'Institut avec moi	她也和我一起去学校
cinquante mètres carrés     50	平方米
Nous avons un appartement très de 50m2, avec deux chambres	我们有一个50平方米的公寓,有两间卧室
On visite aussi des musées	我们也参观了一些博物馆
Il y a un Musée d'art moderne très intéressant et gratuit pour les étudiants	有一个非常有趣的现代艺术博物馆,学生免费
Ce week-end nous allons à Paris en train	这个周末我们乘火车去巴黎
Bises	亲吻
Genève	日内瓦(瑞士)
quartier	街区(n.m.); “街区”“城区”“区域”
mètre carré	平方米n.m.
