elle	她
Il y a trois pièces	有三个房间
J'aime l'appartement de mes voisins	我喜欢我邻居的公寓
six	六
robe	连身裙,连衣裙,洋装
cher	(adj.)(m)亲爱的;贵的
chère	(adj.)(m)亲爱的(阴性);亲爱的;贵的(阴性形式)
t-shirt	"T恤衫"
rouges	红色的(复数形式)
achètes	买
veste	夹克,上衣
coûtent	要(第三人称复数形式)
du	从,的,对
achète	买
jupe	裙子
prix	价格,奖
combien	多少;多少钱
ça	这,那个,那
coûte	要(第三人称单数形式)
chers	贵(阳性复数形式)
chères	贵(阴性复数形式)
euro	欧元
dix	十[dis];十
neuf	九[nœf];(adj.)新的,新建的,新做的,尚未用过的;;九
huit	八[ɥit];八
sept	七[sɛt];七
les chaussures rouges	红色的鞋
Les robes sont rouges	连衣裙是红色的
six robes	六条连衣裙
Les sacs sont rouges	包是红色的。
Les vêtements coûtent neuf euros	衣服要九欧元。
C'est combien	这多少?
Ce pantalon est cher	这条裤子很贵
C'est huit euros	这是八欧元
Je veux une jupe blanche	我想要一条白色的裙子
Les sacs sont chers	包很贵。
les vêtements	衣服
le prix des jupes	裙子(复数)的价格(“des”在这里是“de”(表示所属关系“的”)和复数定冠词“les”的缩合形式。)
les chaussures vertes	绿色的鞋
Il y a sept magasins	有七家商店
Les pizzas sont chères	披萨很贵。
Mon sac est ici	我的包在这里。
Où est ma chaussure	我的鞋在哪里?
le prix de la pomme	苹果的价格
le prix de la pizza	披萨的价格
Le livre coûte huit euros	书要八欧元。
Combien ça coûte	这要多少钱?
le prix du sac	包的价格(“du”是“de”(表示“的”,用于引出所属关系等)和定冠词“le”的缩合形式。)
peux	能,可以
quel âge	几岁
as-tu	你有没有,你有吗
an	岁
parlons	说话,说
venons	来
jeune	年轻的
ne	不,没
viennent	来
pas	不,没,没有
vient	来
viens	来
canadien	加拿大人
parler	说话,讲话;交谈v.t.dir.(直接及物动词)讲(某种语言);说,说话,谈论
quatorze	十四[katɔrz];十四
quinze	十五[kɛ̃z];十五
treize	十三[trɛ:z];十三
douze	十二[du:z];十二
onze	十一[ɔ̃z];十一
italien	(adj.)意大利的,意大利语的;n.意大利人;n.m.意大利语;
marcher	走路,走
dois	应该
important	重要的
aller	去;走;处于(某种状态);运转,进行,进展v.i.;去
rue	街道,马路n.f.;街
tourner	转弯;转动;翻转
à gauche	在左边
Écoutez et répétez les phrases	听并重复这些句子。
Je voudrais poser une question	我想要提一个问题。
Qu'est-ce que ça veut dire	这是什么意思?(用于询问某个单词、短语、句子或者某个情况所表达的含义。)
Ça se prononce comment	这个怎么发音?
Je ne comprends pas	我不明白,我不懂。
Je n'ai pas bien compris	我没有理解好,我没太明白。(compris是动词“comprendre”(理解,明白)的过去分词形式)
Vous pouvez expliquer encore une fois	您(你们)可以再解释一次吗,拜托了?,s'ilvousplait
Je ne comprends pas ce qu'il faut faire	我不明白需要做什么。
Est-ce qu'il y a des devoirs	有作业吗?
Je suis désolé	我很抱歉,(我把作业忘在家里了。)
j'ai oublié mes devoirs à la maison	我把作业忘在家里了。
Est-ce que c'est possible d'apporter mon devoir demain	明天带来我的作业,这是可能的吗?
Est-ce que je peux aller aux toilettes	我可以去厕所吗?
Excusez-moi	“对不起,打扰一下;请原谅我”,是非常常用的礼貌用语。
je ne me sens pas bien	“我感觉不舒服”。
infirmerie	(军队、学校等的)诊疗所,医务室(n.f.)
est-ce que je peux aller à l'infirmerie	我可以去医务室吗?
Ca va comme ça	“这样就行了吗?这样就可以了吗?这样还好吗?”表示对某个事物或情况是否达到预期状态的一种询问。
J'ai oublié	“我已经忘记了”。(“oublier”(忘记)的过去分词,表示动作已经发生)
Je serai absent demain	“我明天将缺席”。(serai:是动词“être”(是)的第一人称单数简单将来时)
prochaine	“下一个的,即将到来的”
la semaine	“星期,周”(阴性)
Je serai absent la semaine prochaine.	“我下周将缺席”。
dernière	“最后的,上一个的”
J'étais absent la semaine dernière	“我上周缺席了”。(“étais”是动词“être”(是)的第一人称单数未完成过去时变位形式)
Épelez	动词“épeler”(拼写)的第二人称复数命令式形式
Épelez votre nom	(拼写你们的名字。)
Écrivez	动词“écrire”(写)的第二人称复数命令式形式
Écrivez votre nom	写下你们的名字
Écoutez	动词“écouter”(听)的第二人称复数命令式形式
Écoutez bien	好好听
Répétez	动词“répéter”(重复)的第二人称复数命令式形式
Répétez après moi	(跟我重复。)
Ne regardez pas le livre	“不要看这本书”。(regardez:是动词“regarder”(看,注视)的第二人称复数现在时变位形式)
Ouvrez votre livre	“打开你们的书”。动词“ouvrir”(打开)的第二人称复数命令式
Fermez le livre	“合上(关闭)这本书”。是动词“fermer”(关闭)的第二人称复数现在时
Attendez	动词“attendre”(等待)的第二人称复数命令式
Attendez-moi	(等等我!)
Encore une fois	“再一次,又一次”。
Peut-on utiliser le dictionnaire	“可以使用词典吗?”(“peut”是动词“pouvoir”(能够,可以)的第三人称单数现在时变位形式,表示可能性;“-on”是泛指人称代词,相当于“人们,大家”)
C'est pour quand	“这是(安排)在什么时候的呢?”
aider	动词,意为“帮助”
Vous pouvez m'aider	“您(们)能帮助我吗?”(“m'”是直接宾语人称代词“me”(我),
Venez ici	“到这里来”,是一种命令或邀请的表达。(动词“venir”(来)的第二人称复数命令式)
Venez au tableau	“到黑板这儿来”。
Qui est absent	“谁缺席了?”
volontaire	名词,意为“志愿者”,也可作形容词表示“自愿的”
Est-ce qu'il y a un volontaire	“有志愿者吗?”
Vous avez dix minutes pour faire le test	“你们(您)有10分钟来做测试”。(动词“avoir”(有)的第二人称复数现在时)
fini	形容词,意为“结束的,完成的”
C'est fini	“结束了”。可以用于表示某个活动、事情已经完成。
Travaillez	是动词“travailler”(工作,学习,劳动等)的第二人称复数命令式形式
Travaillez par groupe de deux personnes	“两人一组进行(工作、学习等)”。
Faites	动词“faire”(做,制造,使......成为)的第二人称复数命令式形式
Faites des groupes de trois personnes	“组成三人一组(的小组)”。
Demandez	动词“demander”(问,要求)的第二人称复数命令式形式
Demandez à votre voisin	“问问你们的邻座(邻居)”。
Au revoir	“再见”。
À demain	“明天见”,是一种约定下次见面时间的告别用语。
À la semaine prochaine	“下周见”
Bonnes vacances	“假期愉快”
Bonne journée	祝你一天愉快;“祝你度过美好的一天”,是一种常用的祝福语。
Bonne soirée	晚安;“晚上愉快”,可用于在晚上向他人表达祝福。
anniversaire	名词,意为“生日;周年纪念日”
Bon anniversaire	“生日快乐;周年纪念日快乐”,是一种常用的祝福语。
Joyeux	形容词,意为“快乐的,欢乐的”
Noël	名词,意为“圣诞节”
Bonne année	“新年好”,是新年期间人们互相祝福的常用语。
troisième	第三的
visiter	参观
lieu	地方
dangereuse	危险的,是“dangereux”的阴性形式
dangereux	危险的
deuxième	第二的
loin	远
près	附近的
pont	桥
route	路
près du	靠近
près de	靠近,接近
derrière	在......后面;后面
habiter	居住(在)v.;居住
immeuble	大楼,建筑物;大楼
intéressant	有趣的
à droite	在右边;右
première	第一的;首要的(阴性形式);第一层(楼);第一的
les pommes de terre	土豆
Je ne sais pas	“我不知道”。(sais:是动词“savoir”(知道,会)的第一人称单数现在时);我不知道
savoir	知道,会
Tu peux marcher	你能走路吗?
Tu dois aller à droite	你应该去右边
la première rue	第一条街
devant la voiture	汽车前面
Tu dois tourner ici	你应该在这里转弯
Tu ne peux pas tourner ici	你不能在这里转弯
C'est à gauche	在左边
la première rue à droite	右边第一条街
un immeuble	一栋大楼
près de la boulangerie	面包店附近
C'est un pont important	这是一座重要的桥。
près de l'école	学校附近
parisiennes	意为“巴黎的”,是阴性复数形式
les rues parisiennes	巴黎的街
C'est loin d'ici	离这里很远。
la première rue à gauche	左边第一条街
C'est à droite	在右边吗?
C'est loin de Paris	离巴黎很远。
Je dois marcher	我应该走路。
Tu dois tourner à gauche	你应该左转弯。
derrière la voiture	汽车后面
un pont	一座桥
le voisin	阳性,男邻居
la voisine	女邻居
les voisins	男邻居(复数)
les voisines	女邻居(复数)
l'étudiant	男学生;男学生
les étudiants	(这些学生)“les”在法语中是定冠词“the”,用于修饰复数名词。;男学生(复数)
les étudiantes	女学生(复数)
Ce sont les étudiants de la première année	这些是一年级的学生
des voisins	一些邻居(男性邻居或男女混合的邻居)
des voisines	一些女邻居
C'est une voisine	这是一位女邻居
Je vais au Japon	我去日本
bibliothèque	图书馆(阴性)
Elle va à la bibliothèque	她去图书馆
Il habite aux États-Unis	他住在美国
Les États-Unis	美国;美利坚合众国
les Philippines	菲律宾;“菲律宾”
les Pays-Bas	荷兰(英语中常用“Netherlands”或“Holland”来表示荷兰);“荷兰”
C'est une adresse	这是一个地址
pourquoi	为什么
québécois	魁北克人
voulez	要,想要
tous les jours	每天
prenez	带,乘坐,上
achetez	买
baguette	法棍面包
allez	去,会,走
lisez	阅读,阅
nos	我们的
avez	有
vos	你们的,妳们的,您的
n'est pas marié	未婚
notre	我们的
marié	婚,已婚的
habitez	住,住在
ensemble	一起,俱
aimez	喜欢
mariés	结婚了
étudiez	学习
parlez	说,谈论
cuisinez	做
travaillez	工作,工
dansez	跳舞,舞
êtes	是,很,在
quand	疑问副词,意为“什么时候”
belge	比利时的adj.英文表达是“Belgian”;比利时人n.Belge(首字母大写)英文表达是“Belgian”(单数形式)/“Belgians”(复数形式);比利时人
maintenant	现在,目前adv.=Now
amie	女朋友n.f.
ami	朋友n.m.
votre	你们的,您的
vous	您;你们pron.pers.(人称代词);您,您们,和你们
Ce sont les livres de Paul	这些是保罗的书
Ce sont des étudiants	这些是学生;这是一些学生
Il va au café	他去咖啡馆
Il travaille à l'hôtel	他在酒店工作;他在旅馆工作
C'est l'adresse du café	这就是那家咖啡馆的地址(du=de+le)
manteau	“外套”或“大衣”
C'est le manteau du directeur	这是主任的大衣(du=de+le的缩合)
directeur	经理n.阳性形式;导演,校长(阳性);“主任”或“负责人”
Elle vient du bureau des professeurs	她来自老师们的办公室(des=de+les)
au coin de la rue	在街角(au=à+le,coin角落)
la place	广场
sur la place de l'Opéra	在歌剧院那边的广场上。
Vous faite de la natation	你是否进行游泳这一活动
Vous prenez des légumes	你吃蔬菜吗?
Oui j'en prends	是的,我吃(en做直接宾语,代替des+légumes,部分冠词+名词)
Tu as beaucoup de cours	你有很多课程吗?(de+名词,引入名词短语,可以被en替代)
Oui j'en ai beaucoup	(en替代de+名词)是的,我有很多课程。
Tu vas acheter combien de robes	你将要购买多少裙子?
Je vais en acheter deux	我要买两条裙子(en替代de+robes)
la farine	特定的面粉
Je prends un kilo de farine	我买一公斤的面粉
Oui tu en prends un kilo	好,你就买一公斤的面粉吧(en指代前面提到过的defarine)
Est-ce que tu as des frères	(Est-ceque引导一般疑问句,表示“你是否......”。)你有兄弟吗?
Oui j'en ai trois	是的,我有3个兄弟(en替代desfrères)
des Chinois	一些中国人(Chinois单复数相同)
un nez	一个鼻子(z不发音)
des nez	一些鼻子(名词“nez”的复数形式)
un noyau	一个种子核
des noyaux	多个核(以au,eau,eu结尾的,复数形式是加x,不能加s)
un chapeau	一顶帽子
des chapeaux	多个“帽子”(以au,eau,eu结尾的,复数形式是加x,不能加s)
un feu	一个火
des feux	多个“火”(以au,eau,eu结尾的,复数形式是加x,不能加s)
un cheval	一匹马
des chevaux	多个“马”(以al结尾的变aux)
un journal	一份报纸或一本日记
des journaux	多个“报纸”(以al结尾的变aux)
Qu'est-ce que vous avez	您有什么=Whatdoyouhave?(Qu'est-ceque=que+est-ceque,意思是“这是什么”)
Qu'est-ce que vous faites dans la vie	您从事什么工作?Whatdoyoudoinyourlife?
Qu'est-ce que vous prenez	您吃点什么?
Qu'est-ce que vous regardez	您在看什么?
Qu'est-ce que vous dites	您说什么?
Qu'est-ce que c'est	这是什么?
Que faites-vous dans la vie	您在生活中做什么?(Que提前,必须主谓倒装构成问句)
Vous faites quoi dans la vie	(Que位于居中变为quoi)您在生活中做什么?
Que dites-vous	您说什么?
Vous dites quoi	您说什么?(口语)
C'est quoi	这是什么(口语)
avec qui	和谁
avez-vous	你有没有
problème	问题
comment	怎么样,什么,怎么
qui	谁pron.interr.;谁
semaine	名词,意为“星期、周”;周
Qu'est-ce qu'il y a dans le café	咖啡中有什么?
Il y a quoi dans la chambre	在房间里有什么?(口语)
Qu'est-ce qu'il y a dans la chambre	房间里有什么?(书)
Il y a un lit une table et deux chaises	有一张床,一个桌子和两把椅子
affiche	海报,广告n.f.
C'est une affiche	这是一张海报
assiette	盘子n.f.
C'est une assiette	这是一个盘子
au-dessous	在下面,通常表示某物在另一物的正下方。
au-dessus	“在上面”;...以上
avec	和...一起prep.=with;具有,带有prep
Il parle français avec un accent anglais	他说法语带有英语口音
blouson	夹克衫n.m.
C'est le blouson de Paul	这是保罗的夹克
chaise	椅子n.f.
Il y a une chaise	有一张椅子
Il y a une chaise dans la chambre	房间里有一把椅子。
chapeau	帽子n.m.
C'est un chapeau	这是一顶帽子。
chatte	母猫
le mur	墙
Il y a une chaise contre le mur	墙边有一把椅子。
côté	旁,侧n.m.通常用来表示物体的侧面或与某事物的关系。
Il habite à côté	他住在旁边。
À côté de la table	在桌子旁边。
cuillère	勺,匙n.f.
Il est devant moi	他在我面前。
droite	右面,右边,右方
tourner à droite	向右转。
Le café est à droite du cinéma	咖啡馆在电影院的右边。
étagère	格,隔板,架子;多层架子n.f.
fauteuil	扶手椅n.m.
fenêtre	窗户;窗子,窗户,玻璃窗n.f.
fleur	“花”。它是一个阴性名词
gauche	左边,左面n.f.
roulent	行驶(动词“rouler”的第三人称复数形式)
En Angleterre le voitures roulent à gauche	在英国,汽车靠左行驶。
Anna est à gauche de Sophie	安娜在索菲的左边
Il y a une table à côté de la chaise	椅子旁边有一张桌子
meuble	家具n.m.
mur	墙壁n.m
objet	物体;物品,东西n.m.
ordinateur	电脑n.m.
pièce	房间n.f.
porte	戴,带,穿;门n.f.
que	什么pron.interr.
sac	包n.m.
Le chat est sous la table	猫在桌子下面。
Le livre est sur l'étagère	书在书架上。
voilà	这就是prep;看,在这里
le vase	花瓶n.m.
Il y a des fleurs dans le vase	花瓶里有花
sur	在..上面prep=On
sous	在...下面=under
dans	在......里prép
devant	在......前面prep
contre	紧挨着
à gauche de	在左边
à droite de	在右边
à côté de	在...的旁边=next+to
Son chapeau et son blouson	他的帽子和他的夹克衫
Ils sont dans la chambre de Mélanie	他们在梅兰妮的房间里
sous l'étagère	在架子下面
sous les affiches	在海报下面
à côté de la fenêtre	在窗户旁边
L'étagère avec des livres	带有书的架子
à gauche de la fenêtre	在窗户的左边
à droite de la fenêtre	在窗户的右边
L'étagère contre le mur	靠墙的架子
Il y a un blouson et un chapeau	有一件夹克和一顶帽子。
du soir	晚上
devez	应该,须
du matin	上午,凌晨
rentre	回
tôt	早,早些
rentrer	回
heure	点,时间,小时
sors	出去
midi	中午
avant	之前,以前,在之前
minuit	午夜
chez	家,在家
il est	他是;他,在,现在是
chambre	卧室n.f.;房间
sucre	糖
s'il te plaît	请,请你,麻烦你(用于比较熟悉的人之间,比如朋友、家人、同学、同事等平辈或者对晚辈)
beaucoup de	很多
un peu de	一点
lait	牛奶,奶
frigo	冰箱
une cuisine	一个厨房
Où est la cuisine	厨房在哪里?
bain	洗澡,沐浴
salle	房间,室
Une salle de bain	一个浴室
un sel	一份盐
Trop de sel	太多盐
Placard	壁橱
Il est deux heures de l'après-midi	现在是下午两点
Trop de lait	太多牛奶
Il y a un peu de sucre dans le placard	橱柜里有一点糖
Je rentre chez moi chaque après-midi	我每个下午回我家。
Vous devez rentrer très tôt	你们应该非常早回。
Je rentre chez moi ce soir	我今天晚上回我家。
horloge	时钟;“时钟”“钟表”
Tu as une horloge chez toi	你家有时钟吗?
Il est onze heures du soir	现在晚上十一点。
Il y a beaucoup de sucre dans ce gâteau	这个蛋糕里有很多糖。
Tu sors	你出去吗?
avant minuit	表示“在午夜之前”
Tu dois sortir avant minuit	你应该在午夜之前出去。
sortir	出去;出去
Il y a beaucoup de placards dans la cuisine	厨房里有很多壁橱。
Je rentre souvent tard	我经常晚回。
tard	晚,晚点;晚,迟
L'horloge blanche	白色的时钟
Je voudrais un verre de lait	我想要一杯牛奶。
Il y a quatre chambres dans cette maison	这幢房子里有四个卧室。
Où est la salle de bain	浴室在哪里?
chez Julia et Gabriel	"Julia和Gabriel家"
Il y a deux chambres chez Paul	保罗家有两个卧室
Avant-midi	中午之前
Je ne rentre pas tard	我不晚回
Je sors très tôt	我非常早出去
Je peux rentrer tard	我能晚回
Tu sors de la cuisine	你从厨房里出去吗?
Il est neuf heures du matin	现在上午九点
Il y a une horloge chez moi	我家有一个时钟。
Vous devez rentrer tôt	你必须早点回来
Trop de café	太多咖啡
Les placards sont ici	壁橱在这里。
la table de la cuisine	厨房的桌子
Je sors de la maison	我从房子里出去
Tu sors de chez Paul	你从保罗家出来吗?;你从Paul家出去吗?
Tu dois sortir	你应该出去
Je veux un peu de lait	我想要一点牛奶。
à minuit	在午夜
Vous devez rentrer à midi	你们应该中午回
une chambre	一个卧室
avant midi	中午之前
Une horloge	一个时钟
Il est quatre heures de l'après-midi	现在是下午四点
Elle est à côté de lui	她在他的旁边
autre	另一个的,别的,另外的adj
des baskets	篮球鞋,运动鞋(一般用复数)n.f.
bleu	蓝色的adj,阳性单数
bleue	蓝色的adj,阴性单数
blond	金色的,金色头发
blonde	金色的,金色头发(阴性单数)
brune	棕色的(阴性)
brun	棕色的
chaussure	鞋;鞋子,靴n.f.
chemise	男式衬衫n.f.
chemisier	女衬衫n.m.
chose	事情,事物n.f.
couleur	颜色n.f.
d'accord	同意,赞同loc.adv.
Tu es d'accord	你同意吗?
Oui je suis d'accord	是的,我同意
grand	高大的adj阳性
grande	大;大的;大型的;伟大的;优秀的;高大的adj阴性
Un homme grand	身材高大的男人
Un grand homme	伟大的人
un jean	牛仔裤n.m.
leur	他们的,她们的,它们的
leurs	他们的,她们的,它们的
Je parle à lui	(我在和他说话。)
lunettes	眼镜,阴性复数名词
des lunettes	眼镜
noir	黑色的
noire	黑色的n.f.
pantalon	裤子;长裤n.m.
porter un pantalon	穿戴,佩戴v.t.
portrait-robot	模拟画像(警方综合搜捕对象的特征所制的)n.m.
rouge	红色的;红色(阴阳同形)
tee-shirt	短袖圆领棉汗衫n.m.
vêtement	衣服,服装,衣裳
vêtements	衣服
Quelle couleur	什么颜色?
nageons	游泳,泳
dessinez	画画
nager	游泳
dessines	画画
nagent	游泳,泳
nage	游泳,泳
dessiner	画画,画
étudier	学习
étudions	学习
écouter	听
chanter	唱歌
chantes	唱歌
chante	唱歌,唱
écoutes	听
visitez	去玩
visitent	去玩
danse	跳得,舞蹈,跳舞
danser	跳舞
danses	舞蹈,跳舞,跳
marches	走路,走
marche	走,能使用,走路
attendre	等待
en retard	迟到
vol	航班,班机
bagage	行李
question	问题,题
quelle	哪,哪一家,哪一把
destination	目的地
profession	职业,职
venez	来,去
quel	哪一名,多么,哪一家
manger	吃
je ne sais pas	我不知道
boire	喝
quelque chose	某物
voyagez	去旅行,旅行,旅
pouvez	可以,能,可
de rien	没关系,这没什么,没事
excusez-moi	对不起
mademoiselle	小姐
trop de	太多的
sel	盐
de l'après-midi	下午的,下午
salle de bain	浴室
nationalité	国籍n.f.;国籍
prénom	名字n.m.[prenɔ̃];名字
nom	姓氏n.m.;姓,名
madame	夫人n.f;女士
monsieur	先生n.m;先生
du pain	面包
beurre	黄油
miel	蜂蜜
du miel	蜂蜜
préfère	更喜欢
bois	饮,在喝,正在喝
détestes	讨厌,厌
du café	咖啡
du thé	茶
au petit déjeuner	早餐时
adore	喜爱,热爱,钟爱
du lait	牛奶,奶
céréales	谷物食品
adorent	喜爱
yaourt	酸奶
fraise	草莓
café au lait	牛奶咖啡
boit	喝,喝得
jus d'orange	橙汁
confiture	果酱
du sucre	糖
déteste	讨,讨厌,厌
préfères	更喜欢
brioche	奶油圆蛋糕
prendre	拿,取,抓,吃,喝,vt.;带,乘坐,上
J'aime bien cette couleur	我很喜欢这种颜色
Cent euros pour un tee-shirt	一件T恤一百欧元
C'est cher	这很贵
Elle n'est pas très chère	它不太贵
Elle ne coûte pas très cher	“它花费不多”(cher做副词没有阴阳性变化)
fait	“faire的变位”,il/elle/on(他/她/人们)
faire	动词,意为“做,制造”;“做;干;进行”
Ça fait combien	“这个多少钱?”
coûter	“值(多少钱);花费(多少钱)”
Combien coûte cette robe	“这条裙子多少钱?”
gris	灰色的、灰白的、花白的
grise	法语单词“gris”的阴性形式
C'est pour toi	“这是给你的”
un pull	一件羊毛套头衫
quantité	“数量;量;大量;许多”
taille	(成衣的)尺寸,尺码n.f.
Quelle est votre taille	“您的尺码是多少?”或者“您的身高是多少?”
Comment est-ce que tu trouves ce pantalon	“你觉得这条裤子怎么样?”
trouver	找到;找到,发现v.t.;“找到;发现”“感到,觉得”
Comment est-ce qu'il trouve Marie	“他觉得玛丽怎么样?”
J'aime bien ce type de pantalon	“我很喜欢这种类型的裤子”
J'adore ce type de sport	“我酷爱这种类型的运动”
vendeur	“售货员,营业员;销售员,推销员”
vendeuse	售货员(阴性)
artiste	艺术家n
le coin	角落,街角n.m
écrivain	“作家;作者n.m.
entre	在。。。之间prep.
entre A et B	在A和B之间
un film	电影,影片n.m.
môme	小孩,小家伙<俗>n.一个通俗用语、略带贬义的名词
musicien	“音乐家;乐师;演奏家”n.m.
musicienne	“musicien”的阴性形式;“女音乐家;女乐师;女演奏家”
peintre	“画家;画师;油漆工”n.m.
poème	“诗;诗篇”
poète	“诗人”
sculpteur	“雕塑家;雕刻家”n
sculptrice	女雕塑家
tableau	名词,意为“黑板;图画;表格”
partir	出发,离开,出去
demain	明天
week-end	周末
prochain	下一个,接下来的
mois	月
passer	度过,参加
rester	待在,待,留
photo	照片,张
Tu prends des yaourts	你吃酸奶吗?
Je n'aime pas les yaourts	我不喜欢酸奶。
Tu aimes les fraises	你喜欢草莓吗?
Ils adorent le chocolat	他们喜欢巧克力。
Tu bois du café	你喝咖啡吗?
Je veux prendre un café	我想要喝一杯咖啡。
Je prends des céréales	我吃谷物食品。
Elles adorent les fruits	她们喜欢水果。
Je bois de l'eau	我喝水
Joyeux Noël	“圣诞快乐”,是在圣诞节期间人们互相祝福的常用语。;“圣诞快乐”
Tu manges du beurre	你吃黄油吗?
Tu veux du miel	你想要蜂蜜吗?
J'adore le thé	我喜欢茶。
Je vais voir Paris	我会看见巴黎
Paul va voyager avec elle	保罗将和她一起旅行。
Je vais rester chez moi demain	我明天会呆在家里。
Nous allons rester chez moi.	我们会呆在我家里。
Où vas-tu passer tes vacances	你将在哪里度假?
une photo de toi	一张你的照片
des photos de vacances	一些度假照片
Vous allez passer le mois prochain à Paris	你们下个月将在巴黎度过。
lui	他,第三人称单数的间接宾语代词;他,跟他,给他
cet	这,这个,这件
été	夏天,夏
faire de la plongée	去潜水
janvier	一月
faire du ski	去滑雪
faire un voyage	去旅行
février	二月
montagne	山里,山
hiver	冬天,冬
temps	时间
eux	他们
en vacances	度假,去度假
année	名词,意为“年;年份”; 年
Je vais voir mes amis	我会去看朋友。
Je vais passer mes vacances à Paris	我会在巴黎度假。
la semaine prochaine	下周
J'ai beaucoup de photos	我有很多照片。
le mois de janvier	一月
Tu ne vas pas voyager avec nous	你不会和我们一起旅行吗?
Je veux partir en vacances	我想要出发去度假。
Je veux faire de la plongée	我想要去潜水。
voir	看见,见,看=to see
apprendre	学,得知,教
comprendre	懂
leçon	课,课文
facile	容易的,易
difficile	困难的,难,难的
cours	课,课程n.m.[kur]; 课程
lentement	慢,慢慢地
comprenons	懂,理解,明白
apprenons	学,学得
salle de classe	教室
sac à dos	背包
plus	更,更多,最
comprend	理解,懂,知道
est-ce qu'	吗
apprennent	学,学得
comprennent	理解,明白,懂得
apprend	学,教
élève	学生
tout	所有的,共,所有东西
comprenez	理解,了解,懂
est-ce que	吗,是否,是不是
apprenez	学
septembre	九月
apprends	学
comprends	懂,懂得,理解
matière	课
dictionnaire	字典
examen	考试,考
